segment_num,start_ms,end_ms,start_sec,end_sec,duration_sec
1,4937,5800,4.937,5.8,0.863
2,7161,7883,7.161,7.883,0.722
3,18027,21730,18.027,21.73,3.703
4,24030,24600,24.03,24.6,0.57
5,26944,30086,26.944,30.086,3.142
6,30807,34230,30.807,34.23,3.423
7,35790,43180,35.79,43.18,7.39
8,48199,49380,48.199,49.38,1.181
9,50242,51082,50.242,51.082,0.84
10,51990,52530,51.99,52.53,0.54
11,52785,54700,52.785,54.7,1.915
12,57772,61630,57.772,61.63,3.858
13,62788,63338,62.788,63.338,0.55
14,66532,67280,66.532,67.28,0.748
15,70050,78449,70.05,78.449,8.399
16,80480,81320,80.48,81.32,0.84
17,81461,84790,81.461,84.79,3.329
18,88380,89510,88.38,89.51,1.13
19,89689,90290,89.689,90.29,0.601
20,99655,101676,99.655,101.676,2.021
21,102938,104200,102.938,104.2,1.262
22,104317,105907,104.317,105.907,1.59
23,110362,110880,110.362,110.88,0.518
24,117288,118570,117.288,118.57,1.282
25,119478,123007,119.478,123.007,3.529
26,123061,128591,123.061,128.591,5.53
27,128747,136817,128.747,136.817,8.07
28,138350,144190,138.35,144.19,5.84
29,161807,162071,161.807,162.071,0.264
30,168050,168570,168.05,168.57,0.52
31,182206,183676,182.206,183.676,1.47
32,193440,200400,193.44,200.4,6.96
33,200590,203680,200.59,203.68,3.09
34,204976,207439,204.976,207.439,2.463
35,208680,209460,208.68,209.46,0.78
36,211002,213142,211.002,213.142,2.14
37,213254,218714,213.254,218.714,5.46
38,220450,228508,220.45,228.508,8.058
39,230320,235860,230.32,235.86,5.54
40,236092,237087,236.092,237.087,0.995
41,238096,239780,238.096,239.78,1.684
42,241449,245588,241.449,245.588,4.139
43,245675,247487,245.675,247.487,1.812
44,248579,249040,248.579,249.04,0.461
45,249198,255538,249.198,255.538,6.34
46,255664,256959,255.664,256.959,1.295
47,259868,260628,259.868,260.628,0.76
